fen,score_cp
"8/8/8/1p6/1k1r4/1P6/2K5/8 b - - 7 59",724
"3r4/8/8/1p6/1k6/1P6/2K5/8 w - - 8 60",-759
"3r4/8/8/1p6/1k6/1P6/1K6/8 b - - 9 60",759
"8/8/8/1p6/1k6/1P6/1K1r4/8 w - - 10 61",-764
"8/8/8/1p6/1k6/1P6/3r4/2K5 b - - 11 61",798
"8/8/8/1p6/1k6/1P6/7r/2K5 w - - 12 62",-803
"8/8/8/1p6/1k6/1P6/7r/3K4 b - - 13 62",827
"8/8/8/1p6/8/1k6/7r/3K4 w - - 0 63",-829
"8/8/8/1p6/8/1k6/7r/4K3 b - - 1 63",833
"8/8/8/8/1p6/1k6/7r/4K3 w - - 0 64",-844
"8/8/8/8/1p6/1k6/7r/5K2 b - - 1 64",902
"8/8/8/8/1pk5/8/7r/5K2 w - - 2 65",-892
"8/8/8/8/1pk5/8/7r/6K1 b - - 3 65",904
"8/8/8/8/2k5/1p6/7r/6K1 w - - 0 66",-917
"8/8/8/8/2k5/1p6/7K/8 b - - 0 66",917
"8/8/8/8/2k5/8/1p5K/8 w - - 0 67",-950
"8/8/8/8/2k5/8/1p6/6K1 b - - 1 67",942
"8/8/8/8/2k5/8/8/1q4K1 w - - 0 68",-976
"8/8/8/8/2k5/8/7K/1q6 b - - 1 68",977
"8/8/8/8/2k1q3/8/7K/8 w - - 2 69",-979
"8/8/8/8/2k1q3/6K1/8/8 b - - 3 69",976
"8/8/8/4q3/2k5/6K1/8/8 w - - 4 70",-976
"8/8/8/4q3/2k3K1/8/8/8 b - - 5 70",981
"8/8/8/3kq3/6K1/8/8/8 w - - 6 71",-976
"8/8/8/3kq3/8/5K2/8/8 b - - 7 71",978
"8/8/8/3k4/4q3/5K2/8/8 w - - 8 72",-979
"8/8/8/3k4/4q3/8/5K2/8 b - - 9 72",980
"8/8/8/8/3kq3/8/5K2/8 w - - 10 73",-978
"8/8/8/8/3kq3/6K1/8/8 b - - 11 73",978
"8/8/8/8/3k4/6K1/4q3/8 w - - 12 74",-981
"8/8/8/8/3k1K2/8/4q3/8 b - - 13 74",978
"8/8/4q3/8/3k1K2/8/8/8 w - - 14 75",-979
"8/8/4q3/8/3k4/6K1/8/8 b - - 15 75",983
"8/8/8/8/3k4/4q1K1/8/8 w - - 16 76",-981
"8/8/8/8/3k3K/4q3/8/8 b - - 17 76",985
"r1bqkbnr/pp1p1ppp/n1p1p3/4Q3/4P3/3B4/PPPP1PPP/RNB1K1NR w KQkq - 2 6",260
"r1bqkbnr/pp1p1ppp/n1p1p3/4Q3/4P3/3B1N2/PPPP1PPP/RNB1K2R b KQkq - 3 6",-110
"r1b1kbnr/pp1p1ppp/nqp1p3/4Q3/4P3/3B1N2/PPPP1PPP/RNB1K2R w KQkq - 4 7",127
"r1b1kbnr/pp1p1ppp/nqp1p3/4Q3/4P3/2NB1N2/PPPP1PPP/R1B1K2R b KQkq - 5 7",-367
"r1b1kbnr/pp1p1ppp/1qp1p3/2n1Q3/4P3/2NB1N2/PPPP1PPP/R1B1K2R w KQkq - 6 8",35
"r1b1kbnr/pp1p1ppp/1qp1p3/2n1Q3/2B1P3/2N2N2/PPPP1PPP/R1B1K2R b KQkq - 7 8",-64
"r1b1kbnr/pp3ppp/1qppp3/2n1Q3/2B1P3/2N2N2/PPPP1PPP/R1B1K2R w KQkq - 0 9",174
"r1b1kbnr/pp3ppp/1qppp3/2n5/2B1P3/2N2NQ1/PPPP1PPP/R1B1K2R b KQkq - 1 9",-79
"r1b1kbnr/pp3ppp/1qppp3/8/n1B1P3/2N2NQ1/PPPP1PPP/R1B1K2R w KQkq - 2 10",65
"r1b1kbnr/pp3ppp/1qppp3/8/n1BPP3/2N2NQ1/PPP2PPP/R1B1K2R b KQkq - 0 10",-76
"r1b1kb1r/pp3ppp/1qpppn2/8/n1BPP3/2N2NQ1/PPP2PPP/R1B1K2R w KQkq - 1 11",85
"r1b1kb1r/pp3ppp/1qppBn2/8/n2PP3/2N2NQ1/PPP2PPP/R1B1K2R b KQkq - 0 11",-165
"r1b1kb1r/pp3ppp/q1ppBn2/8/n2PP3/2N2NQ1/PPP2PPP/R1B1K2R w KQkq - 1 12",133
"r1B1kb1r/pp3ppp/q1pp1n2/8/n2PP3/2N2NQ1/PPP2PPP/R1B1K2R b KQkq - 0 12",-105
"r1B1kb1r/pp3ppp/q1pp1n2/8/3PP3/2n2NQ1/PPP2PPP/R1B1K2R w KQkq - 0 13",75
"r1B1kb1r/pp3ppp/q1pp1n2/8/3PP3/2P2NQ1/P1P2PPP/R1B1K2R b KQkq - 0 13",-105
"2r1kb1r/pp3ppp/q1pp1n2/8/3PP3/2P2NQ1/P1P2PPP/R1B1K2R w KQk - 0 14",100
"2r1kb1r/pp3ppp/q1pp1n2/8/3PP3/2P2N1Q/P1P2PPP/R1B1K2R b KQk - 1 14",-204
"2r1kb1r/pp1n1ppp/q1pp4/8/3PP3/2P2N1Q/P1P2PPP/R1B1K2R w KQk - 2 15",103
"2r1kb1r/pp1n1ppp/q1pp4/8/3PP3/2P2N1Q/P1PB1PPP/R3K2R b KQk - 3 15",-122
"3rkb1r/pp1n1ppp/q1pp4/8/3PP3/2P2N1Q/P1PB1PPP/R3K2R w KQk - 4 16",99
"3rkb1r/pp1n1ppp/q1pp4/6B1/3PP3/2P2N1Q/P1P2PPP/R3K2R b KQk - 5 16",-150
"3rk2r/pp1nbppp/q1pp4/6B1/3PP3/2P2N1Q/P1P2PPP/R3K2R w KQk - 6 17",128
"3rk2r/pp1nBppp/q1pp4/8/3PP3/2P2N1Q/P1P2PPP/R3K2R b KQk - 0 17",-119
"3r3r/pp1nkppp/q1pp4/8/3PP3/2P2N1Q/P1P2PPP/R3K2R w KQ - 0 18",105
"3r3r/pp1nkppp/q1pp4/8/3PP3/2P2N1Q/P1PK1PPP/R6R b - - 1 18",-144
"3r3r/pp1nkp1p/q1pp2p1/8/3PP3/2P2N1Q/P1PK1PPP/R6R w - - 0 19",114
"3r3r/pp1nkp1p/q1pp2p1/8/3PP1Q1/2P2N2/P1PK1PPP/R6R b - - 1 19",-153
"4r2r/pp1nkp1p/q1pp2p1/8/3PP1Q1/2P2N2/P1PK1PPP/R6R w - - 2 20",147
"4r2r/pp1nkp1p/q1pp2p1/8/3PP1Q1/2P2N2/P1PK1PPP/1R5R b - - 3 20",-123
"4r2r/pp2kp1p/qnpp2p1/8/3PP1Q1/2P2N2/P1PK1PPP/1R5R w - - 4 21",63
"4r2r/pp2kp1p/qnpp2p1/8/P2PP1Q1/2P2N2/2PK1PPP/1R5R b - - 0 21",-90
"4r2r/pp2kp1p/qn1p2p1/2p5/P2PP1Q1/2P2N2/2PK1PPP/1R5R w - - 0 22",88
"4r2r/pp2kp1p/qn1p2p1/2p5/P2PP1Q1/2P2N2/2PK1PPP/1R1R4 b - - 1 22",-37
"4r2r/pp2kp1p/1n1p2p1/2p5/q2PP1Q1/2P2N2/2PK1PPP/1R1R4 w - - 0 23",172
"4r2r/pp2kp1p/1n1p2p1/2p5/q2PP1Q1/2P2N2/2PK1PPP/R2R4 b - - 1 23",-152
"4r2r/pp1qkp1p/1n1p2p1/2p5/3PP1Q1/2P2N2/2PK1PPP/R2R4 w - - 2 24",187
"4r2r/pp1Qkp1p/1n1p2p1/2p5/3PP3/2P2N2/2PK1PPP/R2R4 b - - 0 24",-139
"4r2r/pp1k1p1p/1n1p2p1/2p5/3PP3/2P2N2/2PK1PPP/R2R4 w - - 0 25",133
"4r2r/Rp1k1p1p/1n1p2p1/2p5/3PP3/2P2N2/2PK1PPP/3R4 b - - 0 25",-162
"4r2r/Rpk2p1p/1n1p2p1/2p5/3PP3/2P2N2/2PK1PPP/3R4 w - - 1 26",126
"4r2r/Rpk2p1p/1n1p2p1/2p1P3/3P4/2P2N2/2PK1PPP/3R4 b - - 0 26",-110
"4r2r/Rpk2p1p/1n4p1/2p1p3/3P4/2P2N2/2PK1PPP/3R4 w - - 0 27",65
"4r2r/Rpk2p1p/1n4p1/2p1p3/3P4/2P2N2/2PK1PPP/1R6 b - - 1 27",28
"4r2r/Rpk2p1p/1n4p1/4p3/3p4/2P2N2/2PK1PPP/1R6 w - - 0 28",-5
"4r2r/Rpk2p1p/1n4p1/4p3/3p4/2P2N2/2PK1PPP/R7 b - - 1 28",86
"4r2r/Rpk2p1p/1n4p1/4p3/8/2p2N2/2PK1PPP/R7 w - - 0 29",-109
"4r2r/Rpk2p1p/1n4p1/4p3/8/2K2N2/2P2PPP/R7 b - - 0 29",38
"4r2r/Rpk2p1p/6p1/3np3/8/2K2N2/2P2PPP/R7 w - - 1 30",-51
"4r2r/Rpk2p1p/6p1/3np3/2K5/5N2/2P2PPP/R7 b - - 2 30",46
"3r3r/Rpk2p1p/6p1/3np3/2K5/5N2/2P2PPP/R7 w - - 3 31",19
"3r3r/Rpk2p1p/6p1/3np3/2K5/5N2/2P2PPP/1R6 b - - 4 31",-95
"3r3r/Rpk2p1p/1n4p1/4p3/2K5/5N2/2P2PPP/1R6 w - - 5 32",-62
"3r3r/Rpk2p1p/1n4p1/2K1p3/8/5N2/2P2PPP/1R6 b - - 6 32",104
"7r/Rpk2p1p/1n4p1/2Krp3/8/5N2/2P2PPP/1R6 w - - 7 33",-178
"7r/Rpk2p1p/1n4p1/3rp3/1K6/5N2/2P2PPP/1R6 b - - 8 33",70
"7r/Rpk4p/1n3pp1/3rp3/1K6/5N2/2P2PPP/1R6 w - - 0 34",-47
"7r/Rpk4p/1n3pp1/3rp3/1KP5/5N2/5PPP/1R6 b - - 0 34",55
"7r/Rpk4p/1n1r1pp1/4p3/1KP5/5N2/5PPP/1R6 w - - 1 35",2
"7r/Rpk4p/1n1r1pp1/2P1p3/1K6/5N2/5PPP/1R6 b - - 0 35",-167
"7r/Rpk4p/1nr2pp1/2P1p3/1K6/5N2/5PPP/1R6 w - - 1 36",-139
"7r/Rpk4p/1nr2pp1/K1P1p3/8/5N2/5PPP/1R6 b - - 2 36",35
"7r/Rpk4p/1n3pp1/K1r1p3/8/5N2/5PPP/1R6 w - - 0 37",-384
"7r/Rpk4p/1n3pp1/KRr1p3/8/5N2/5PPP/8 b - - 1 37",466
"7r/Rpk4p/1n3pp1/Kr2p3/8/5N2/5PPP/8 w - - 0 38",-205
"7r/Rpk4p/1n3pp1/1K2p3/8/5N2/5PPP/8 b - - 0 38",206
"2n4r/Rpk4p/5pp1/1K2p3/8/5N2/5PPP/8 w - - 1 39",-256
"2n4r/1pk4p/5pp1/1K2p3/8/R4N2/5PPP/8 b - - 2 39",242
